environment_label,max_runtime_hours,randomize_start_loc,start_loc,goal_location,mode,movement_method,sigma_ang,sigma_d,max_dist,num_bvc_per_dir,num_place_cells,n_hd,trial_name,trial_folder,timestamp
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,0.5,30,50,1500,8,sAng_1.0_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_0.5,2025-02-20T15:49:58.647822
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,1.0,30,50,1500,8,sAng_1.0_sD_1.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_1.0,2025-02-20T15:56:33.496858
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,1.5,30,50,1500,8,sAng_1.0_sD_1.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_1.5,2025-02-20T16:03:11.731833
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,2.0,30,50,1500,8,sAng_1.0_sD_2.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_2.0,2025-02-20T16:09:44.120199
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,2.5,30,50,1500,8,sAng_1.0_sD_2.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_2.5,2025-02-20T16:16:20.227471
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,3.0,30,50,1500,8,sAng_1.0_sD_3.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_3.0,2025-02-20T16:22:54.547912
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,3.5,30,50,1500,8,sAng_1.0_sD_3.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_3.5,2025-02-20T16:29:26.489606
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,4.0,30,50,1500,8,sAng_1.0_sD_4.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_4.0,2025-02-20T16:35:57.762620
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,0.5,30,50,1500,8,sAng_1.5_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_0.5,2025-02-20T16:42:32.016421
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,1.0,30,50,1500,8,sAng_1.5_sD_1.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_1.0,2025-02-20T16:49:08.534734
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,1.5,30,50,1500,8,sAng_1.5_sD_1.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_1.5,2025-02-20T16:55:38.939553
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,2.0,30,50,1500,8,sAng_1.5_sD_2.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_2.0,2025-02-20T17:02:12.096933
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,2.5,30,50,1500,8,sAng_1.5_sD_2.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_2.5,2025-02-20T17:08:47.501327
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,3.0,30,50,1500,8,sAng_1.5_sD_3.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_3.0,2025-02-20T17:15:20.999703
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,3.5,30,50,1500,8,sAng_1.5_sD_3.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_3.5,2025-02-20T17:21:53.914350
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,4.0,30,50,1500,8,sAng_1.5_sD_4.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_4.0,2025-02-20T17:28:30.728705
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,0.5,30,50,1500,8,sAng_2.0_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_0.5,2025-02-20T17:35:07.716417
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,1.0,30,50,1500,8,sAng_2.0_sD_1.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_1.0,2025-02-20T17:41:36.874834
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,1.5,30,50,1500,8,sAng_2.0_sD_1.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_1.5,2025-02-20T17:48:07.053229
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,2.0,30,50,1500,8,sAng_2.0_sD_2.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_2.0,2025-02-20T17:54:37.490523
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,2.5,30,50,1500,8,sAng_2.0_sD_2.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_2.5,2025-02-20T18:01:07.394845
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,3.0,30,50,1500,8,sAng_2.0_sD_3.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_3.0,2025-02-20T18:07:38.631122
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,3.5,30,50,1500,8,sAng_2.0_sD_3.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_3.5,2025-02-20T18:14:08.368055
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,4.0,30,50,1500,8,sAng_2.0_sD_4.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_4.0,2025-02-20T18:20:42.233680
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,0.5,30,50,1500,8,sAng_2.5_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_0.5,2025-02-20T18:27:14.831139
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,1.0,30,50,1500,8,sAng_2.5_sD_1.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_1.0,2025-02-20T18:33:48.918204
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,1.5,30,50,1500,8,sAng_2.5_sD_1.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_1.5,2025-02-20T18:40:26.755853
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,2.0,30,50,1500,8,sAng_2.5_sD_2.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_2.0,2025-02-20T18:46:55.673506
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,2.5,30,50,1500,8,sAng_2.5_sD_2.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_2.5,2025-02-20T18:53:26.319174
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,3.0,30,50,1500,8,sAng_2.5_sD_3.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_3.0,2025-02-20T18:59:56.905479
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,3.5,30,50,1500,8,sAng_2.5_sD_3.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_3.5,2025-02-20T19:06:28.066759
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,4.0,30,50,1500,8,sAng_2.5_sD_4.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_4.0,2025-02-20T19:12:58.143324
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,0.5,30,50,1500,8,sAng_3.0_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_0.5,2025-02-20T19:19:31.158324
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,1.0,30,50,1500,8,sAng_3.0_sD_1.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_1.0,2025-02-20T19:26:01.586163
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,1.5,30,50,1500,8,sAng_3.0_sD_1.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_1.5,2025-02-20T19:32:35.860320
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,2.0,30,50,1500,8,sAng_3.0_sD_2.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_2.0,2025-02-20T19:39:10.084300
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,2.5,30,50,1500,8,sAng_3.0_sD_2.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_2.5,2025-02-20T19:45:40.142634
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,3.0,30,50,1500,8,sAng_3.0_sD_3.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_3.0,2025-02-20T19:52:10.535764
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,3.5,30,50,1500,8,sAng_3.0_sD_3.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_3.5,2025-02-20T19:58:37.338373
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,4.0,30,50,1500,8,sAng_3.0_sD_4.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_4.0,2025-02-20T20:05:04.581509
